Period (Year),Period (Month),All Volume,Churn Volume,Monthly Churn %, | ,Period (Year),All Volume,Churn Volume,Yearly Churn %
2020,Apr,4466913227.481,208251297.04,4.66%,,2020.0,58589764726.58309,2659303771.405,4.54%
2020,Aug,5026138017.3880005,251212220.38000003,5.0%,,2021.0,59470237607.7908,2601469050.3418,4.37%
2020,Dec,4786066559.01359,159906997.18,3.34%,,2022.0,61181247656.27111,2797228380.24971,4.57%
2020,Feb,4789799640.593,237569616.6,4.96%,,2023.0,60229570376.513306,3198601992.7790003,5.31%
2020,Jan,5034682709.708,244240150.34,4.85%,,2024.0,59990288786.21679,2186964046.8849998,3.65%
2020,Jul,5038432924.785,247822686.49999997,4.92%,,2025.0,60758480925.9599,1136780646.053,1.87%
2020,Jun,4781298609.215,257401873.98000002,5.38%,,2026.0,25544269038.000763,11174566.6,0.04%
2020,Mar,5093920320.5775,218677678.07999998,4.29%,,,,,
2020,May,4477008413.188,216071187.0,4.83%,,,,,
2020,Nov,4792396071.871,182903963.62,3.82%,,,,,
2020,Oct,5289747069.382,217792735.1,4.12%,,,,,
2020,Sep,5013361163.381,217453365.585,4.34%,,,,,
2021,Apr,4962256867.55,202853237.37,4.09%,,,,,
2021,Aug,5051817458.018,231384518.95999998,4.58%,,,,,
2021,Dec,4790219519.4948,217887101.47,4.55%,,,,,
2021,Feb,4423746169.0294,173703263.45,3.93%,,,,,
2021,Jan,4941185775.0633,170170447.78,3.44%,,,,,
2021,Jul,5291410565.9211,260867481.63,4.93%,,,,,
2021,Jun,5067377637.7818,237287926.8,4.68%,,,,,
2021,Mar,5242925589.633,212699878.74,4.06%,,,,,
2021,May,5029109323.85,192788157.531,3.83%,,,,,
2021,Nov,4809136268.7799,232792931.8447,4.84%,,,,,
2021,Oct,5038976631.2766,248712480.51000002,4.94%,,,,,
2021,Sep,4822075801.3929,220321624.2561,4.57%,,,,,
2022,Apr,5024455703.14,230262774.45,4.58%,,,,,
2022,Aug,5467875727.6818,251375872.64000002,4.6%,,,,,
2022,Dec,4898561169.131,295131733.31,6.02%,,,,,
2022,Feb,4746571757.351,188762784.948,3.98%,,,,,
2022,Jan,4619944568.465,178771498.78,3.87%,,,,,
2022,Jul,5188213730.455,216485509.20000002,4.17%,,,,,
2022,Jun,5119848610.445,209844890.29,4.1%,,,,,
2022,Mar,5385791669.731,231088905.98,4.29%,,,,,
2022,May,5231341344.3469,218251054.04,4.17%,,,,,
2022,Nov,4959894088.5387,300539588.24,6.06%,,,,,
2022,Oct,5326740175.76721,229677895.42171,4.31%,,,,,
2022,Sep,5212009111.2185,247035872.95000002,4.74%,,,,,
2023,Apr,4921859133.713,277962559.356,5.65%,,,,,
2023,Aug,5428829097.0306,335171458.856,6.17%,,,,,
2023,Dec,4658823425.722,153192726.34600002,3.29%,,,,,
2023,Feb,4724029921.98,270276303.642,5.72%,,,,,
2023,Jan,4982648930.779,292938567.469,5.88%,,,,,
2023,Jul,5077185808.9074,281154637.39,5.54%,,,,,
2023,Jun,5049900835.0199,305671551.213,6.05%,,,,,
2023,Mar,5388848539.091,300963928.62,5.58%,,,,,
2023,May,5132242887.216,319799272.10400003,6.23%,,,,,
2023,Nov,4779023581.5938,170882383.923,3.58%,,,,,
2023,Oct,5124611102.601,217007574.92000002,4.23%,,,,,
2023,Sep,4961567112.85961,273581028.94,5.51%,,,,,
2024,Apr,4863877825.44054,151764136.38,3.12%,,,,,
2024,Aug,5283035122.6582,204846281.79,3.88%,,,,,
2024,Dec,4708687706.4339,167955449.97,3.57%,,,,,
2024,Feb,4870819061.74885,192798112.12,3.96%,,,,,
2024,Jan,4924330657.7678,170491571.089,3.46%,,,,,
2024,Jul,5116965364.0484,164823770.825,3.22%,,,,,
2024,Jun,4979173730.6712,194457872.96,3.91%,,,,,
2024,Mar,5087434052.6402,194403489.18,3.82%,,,,,
2024,May,5087288698.90663,204182785.82,4.01%,,,,,
2024,Nov,4878450010.0582,170332423.47,3.49%,,,,,
2024,Oct,5291707433.87187,194230986.841,3.67%,,,,,
2024,Sep,4898519121.971,176677166.44,3.61%,,,,,
2025,Apr,5013442271.1934,146846223.838,2.93%,,,,,
2025,Aug,5369090834.0,93035312.0,1.73%,,,,,
2025,Dec,4819246174.0,1450453.0,0.03%,,,,,
2025,Feb,4675721317.5098,132333040.07,2.83%,,,,,
2025,Jan,4605426627.6727,144576199.286,3.14%,,,,,
2025,Jul,5373471124.8014,105894047.525,1.97%,,,,,
2025,Jun,5039931081.0,106360285.688,2.11%,,,,,
2025,Mar,5186322108.2564,175831131.96400002,3.39%,,,,,
2025,May,5176321574.5262,123098998.682,2.38%,,,,,
2025,Nov,4920889523.0,12744458.0,0.26%,,,,,
2025,Oct,5446287250.0,38252974.0,0.7%,,,,,
2025,Sep,5132331040.0,56357522.0,1.1%,,,,,
2026,Apr,5239920629.364,1803855.99,0.03%,,,,,
2026,Feb,4985463054.4391,2099876.87,0.04%,,,,,
2026,Jan,4955135858.0955,3818004.34,0.08%,,,,,
2026,Mar,5095573213.49036,1518809.62,0.03%,,,,,
2026,May,5268176282.6118,1934019.78,0.04%,,,,,
