Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
641292,41098.754,2,99.9,High Risk (Zone 1/2)
633191,129702.23000000001,2,99.85,High Risk (Zone 1/2)
631133,0.0,1,97.01,High Risk (Zone 1/2)
630550,30473.238,1,96.82,High Risk (Zone 1/2)
615494,16527.0,1,96.76,High Risk (Zone 1/2)
641603,32466.666666666668,1,96.71,High Risk (Zone 1/2)
636454,56308.0,1,96.69,High Risk (Zone 1/2)
624940,81303.652,1,96.5,High Risk (Zone 1/2)
615622,88975.94200000001,1,96.45,High Risk (Zone 1/2)
601957,77495.5,1,96.43,High Risk (Zone 1/2)
604292,38547.5,1,96.41,High Risk (Zone 1/2)
639160,64521.0,1,96.39,High Risk (Zone 1/2)
632270,104129.33333333333,1,96.23,High Risk (Zone 1/2)
610466,125717.13799999999,1,96.17,High Risk (Zone 1/2)
600133,54532.5,1,96.14,High Risk (Zone 1/2)
633793,62756.14,1,95.99,High Risk (Zone 1/2)
633081,173533.33333333334,1,95.89,High Risk (Zone 1/2)
610684,157057.956,1,95.81,High Risk (Zone 1/2)
628340,178249.73,1,95.8,High Risk (Zone 1/2)
610354,177076.59,1,95.77,High Risk (Zone 1/2)
626566,187074.0,1,95.71,High Risk (Zone 1/2)
640651,174339.084,1,95.65,High Risk (Zone 1/2)
614175,118870.46,1,95.54,High Risk (Zone 1/2)
623826,156988.33333333334,1,95.28,High Risk (Zone 1/2)
641265,139633.33333333334,1,95.27,High Risk (Zone 1/2)
635121,220350.6,1,95.14,High Risk (Zone 1/2)
619850,109450.5,1,95.02,High Risk (Zone 1/2)
638312,276345.934,1,94.62,High Risk (Zone 1/2)
601217,272107.6666666667,1,94.31,High Risk (Zone 1/2)
639783,229236.66666666666,1,94.22,High Risk (Zone 1/2)
637069,211732.19666666666,1,94.21,High Risk (Zone 1/2)
609083,396307.135,1,94.13,High Risk (Zone 1/2)
603387,234150.0,1,93.9,High Risk (Zone 1/2)
638300,164750.0,1,93.59,High Risk (Zone 1/2)
610405,227902.24333333332,1,93.54,High Risk (Zone 1/2)
633780,208400.0,1,93.44,High Risk (Zone 1/2)
631678,385754.73,1,93.15,High Risk (Zone 1/2)
602183,229425.0,1,93.13,High Risk (Zone 1/2)
640100,386499.61,1,92.79,High Risk (Zone 1/2)
610179,221136.5,1,91.75,High Risk (Zone 1/2)
635520,321328.0,1,87.25,High Risk (Zone 1/2)
600601,892759.8633333333,1,85.25,High Risk (Zone 1/2)
632834,543419.6666666666,1,83.63,High Risk (Zone 1/2)
601475,641672.5719999999,1,83.47,High Risk (Zone 1/2)
641331,539900.0,1,81.27,High Risk (Zone 1/2)
642333,421874.0,1,80.8,High Risk (Zone 1/2)
641062,1217540.6666666667,1,76.73,High Risk (Zone 1/2)
614226,766518.716,1,71.76,Medium Risk (Zone 3/4)
600363,36499.12,0,48.25,Medium Risk (Zone 3/4)
602600,50217.0,0,48.22,Medium Risk (Zone 3/4)
614781,37057.78,0,48.22,Medium Risk (Zone 3/4)
604048,51582.94,0,48.21,Medium Risk (Zone 3/4)
620163,59568.0,0,48.2,Medium Risk (Zone 3/4)
635601,60055.95,0,48.2,Medium Risk (Zone 3/4)
601520,56145.0,0,48.2,Medium Risk (Zone 3/4)
642233,65151.0,0,48.19,Medium Risk (Zone 3/4)
642294,63594.130000000005,0,48.19,Medium Risk (Zone 3/4)
610776,16852.9875,0,48.19,Medium Risk (Zone 3/4)
625982,63401.0,0,48.19,Medium Risk (Zone 3/4)
617091,66480.54,0,48.18,Medium Risk (Zone 3/4)
614543,66574.0,0,48.18,Medium Risk (Zone 3/4)
610278,68343.0,0,48.18,Medium Risk (Zone 3/4)
600937,71900.0,0,48.17,Medium Risk (Zone 3/4)
610381,74488.0,0,48.17,Medium Risk (Zone 3/4)
629820,70204.0,0,48.17,Medium Risk (Zone 3/4)
642552,74488.0,0,48.17,Medium Risk (Zone 3/4)
609101,71229.15,0,48.17,Medium Risk (Zone 3/4)
641985,76200.0,0,48.16,Medium Risk (Zone 3/4)
626813,75419.0,0,48.16,Medium Risk (Zone 3/4)
615411,61871.685,0,48.16,Medium Risk (Zone 3/4)
630905,79050.39,0,48.16,Medium Risk (Zone 3/4)
610744,82216.13,0,48.15,Medium Risk (Zone 3/4)
642350,81285.03,0,48.15,Medium Risk (Zone 3/4)
632246,87616.51,0,48.14,Medium Risk (Zone 3/4)
617329,86499.19,0,48.14,Medium Risk (Zone 3/4)
639460,92458.23,0,48.13,Medium Risk (Zone 3/4)
