Delivery Point,Avg_6M_Volume,Zero_Volume_Months,Churn_Probability_%,Risk_Profile
615008,44704.81999999999,2,100.0,High Risk (Zone 1/2)
640024,0.0,1,98.88,High Risk (Zone 1/2)
609825,0.0,1,98.88,High Risk (Zone 1/2)
609861,12085.5,1,98.65,High Risk (Zone 1/2)
610717,29638.375,1,98.57,High Risk (Zone 1/2)
617959,30933.25,1,98.53,High Risk (Zone 1/2)
617945,37751.4,1,98.53,High Risk (Zone 1/2)
615001,34437.92,1,98.48,High Risk (Zone 1/2)
636330,62191.166666666664,1,98.27,High Risk (Zone 1/2)
610174,60485.05,1,98.16,High Risk (Zone 1/2)
636031,67362.275,1,98.05,High Risk (Zone 1/2)
637140,55440.0,1,98.02,High Risk (Zone 1/2)
609479,95321.96666666667,1,97.93,High Risk (Zone 1/2)
624283,102983.33333333333,1,97.81,High Risk (Zone 1/2)
617008,66220.86666666667,1,97.8,High Risk (Zone 1/2)
609684,82497.925,1,97.8,High Risk (Zone 1/2)
641084,67880.325,1,97.77,High Risk (Zone 1/2)
618523,87545.06,1,97.76,High Risk (Zone 1/2)
609995,102761.28,1,97.66,High Risk (Zone 1/2)
635252,97134.5,1,97.44,High Risk (Zone 1/2)
641496,78706.66666666667,1,97.36,High Risk (Zone 1/2)
629871,58701.0,1,97.21,High Risk (Zone 1/2)
611959,91082.46666666667,1,97.18,High Risk (Zone 1/2)
612151,91351.03333333333,1,97.18,High Risk (Zone 1/2)
610141,93998.33333333333,1,97.09,High Risk (Zone 1/2)
601728,62100.0,1,97.06,High Risk (Zone 1/2)
614552,96530.66666666667,1,97.01,High Risk (Zone 1/2)
616956,65952.3,1,96.88,High Risk (Zone 1/2)
637243,94885.75,1,96.66,High Risk (Zone 1/2)
615438,144297.03333333333,1,96.3,High Risk (Zone 1/2)
614437,77232.1,1,96.29,High Risk (Zone 1/2)
615444,141803.16666666666,1,95.34,High Risk (Zone 1/2)
610831,164554.63333333333,1,94.02,High Risk (Zone 1/2)
613662,240098.6,1,93.37,High Risk (Zone 1/2)
617831,183123.96666666667,1,93.04,High Risk (Zone 1/2)
605017,121257.85,1,92.81,High Risk (Zone 1/2)
634004,187804.83333333334,1,92.71,High Risk (Zone 1/2)
610859,129105.0,1,91.94,High Risk (Zone 1/2)
609853,131098.9,1,91.7,High Risk (Zone 1/2)
614009,314357.2833333333,1,91.26,High Risk (Zone 1/2)
602461,137953.5,1,90.84,High Risk (Zone 1/2)
642391,143875.0,1,90.02,High Risk (Zone 1/2)
609437,285724.18,1,88.64,High Risk (Zone 1/2)
637054,171038.5,1,85.44,High Risk (Zone 1/2)
641133,318466.6666666667,1,76.57,High Risk (Zone 1/2)
617745,430266.82,1,76.28,High Risk (Zone 1/2)
601978,457866.66,1,75.24,High Risk (Zone 1/2)
614888,486738.81666666665,1,63.99,Medium Risk (Zone 3/4)
624736,276528.0,1,52.43,Medium Risk (Zone 3/4)
611893,512669.75,1,44.13,Medium Risk (Zone 3/4)
634022,651375.0,1,19.49,Low Risk (Zone 5/6)
615385,8302.416666666666,0,0.06,Low Risk (Zone 5/6)
637411,11510.0,0,0.06,Low Risk (Zone 5/6)
641035,107500.0,0,0.05,Low Risk (Zone 5/6)
641052,101208.0,0,0.05,Low Risk (Zone 5/6)
600168,70399.0,0,0.05,Low Risk (Zone 5/6)
600173,50610.5,0,0.05,Low Risk (Zone 5/6)
639755,114179.2,0,0.05,Low Risk (Zone 5/6)
639839,100594.0,0,0.05,Low Risk (Zone 5/6)
639842,102209.0,0,0.05,Low Risk (Zone 5/6)
639948,46059.5,0,0.05,Low Risk (Zone 5/6)
639950,63842.13333333333,0,0.05,Low Risk (Zone 5/6)
640005,112400.0,0,0.05,Low Risk (Zone 5/6)
640012,116961.0,0,0.05,Low Risk (Zone 5/6)
640045,46040.0,0,0.05,Low Risk (Zone 5/6)
640079,83677.7,0,0.05,Low Risk (Zone 5/6)
640163,102754.5,0,0.05,Low Risk (Zone 5/6)
640262,106000.0,0,0.05,Low Risk (Zone 5/6)
640289,50300.0,0,0.05,Low Risk (Zone 5/6)
600206,44050.75,0,0.05,Low Risk (Zone 5/6)
600218,111022.5,0,0.05,Low Risk (Zone 5/6)
600219,68807.0,0,0.05,Low Risk (Zone 5/6)
638590,64456.0,0,0.05,Low Risk (Zone 5/6)
638592,56053.65,0,0.05,Low Risk (Zone 5/6)
638760,103646.0,0,0.05,Low Risk (Zone 5/6)
638871,97259.5,0,0.05,Low Risk (Zone 5/6)
638932,94486.66666666667,0,0.05,Low Risk (Zone 5/6)
639123,62384.0,0,0.05,Low Risk (Zone 5/6)
639252,45157.53333333333,0,0.05,Low Risk (Zone 5/6)
639253,42011.5,0,0.05,Low Risk (Zone 5/6)
639419,85461.55,0,0.05,Low Risk (Zone 5/6)
639422,98232.0,0,0.05,Low Risk (Zone 5/6)
639457,102608.0,0,0.05,Low Risk (Zone 5/6)
639458,98292.5,0,0.05,Low Risk (Zone 5/6)
639633,39262.0,0,0.05,Low Risk (Zone 5/6)
639750,43661.26666666667,0,0.05,Low Risk (Zone 5/6)
600247,134700.0,0,0.05,Low Risk (Zone 5/6)
600255,95053.0,0,0.05,Low Risk (Zone 5/6)
637560,131329.0,0,0.05,Low Risk (Zone 5/6)
637750,99748.0,0,0.05,Low Risk (Zone 5/6)
637852,118553.0,0,0.05,Low Risk (Zone 5/6)
637855,69060.0,0,0.05,Low Risk (Zone 5/6)
637908,71389.93333333333,0,0.05,Low Risk (Zone 5/6)
637983,102340.0,0,0.05,Low Risk (Zone 5/6)
638025,82530.0,0,0.05,Low Risk (Zone 5/6)
638094,99900.0,0,0.05,Low Risk (Zone 5/6)
638273,82275.0,0,0.05,Low Risk (Zone 5/6)
638333,108800.0,0,0.05,Low Risk (Zone 5/6)
638380,49707.0,0,0.05,Low Risk (Zone 5/6)
600293,121994.5,0,0.05,Low Risk (Zone 5/6)
600302,83492.83333333333,0,0.05,Low Risk (Zone 5/6)
600319,112600.0,0,0.05,Low Risk (Zone 5/6)
600334,105686.25,0,0.05,Low Risk (Zone 5/6)
638520,40100.0,0,0.05,Low Risk (Zone 5/6)
637065,47900.0,0,0.05,Low Risk (Zone 5/6)
637088,57375.666666666664,0,0.05,Low Risk (Zone 5/6)
637093,60992.333333333336,0,0.05,Low Risk (Zone 5/6)
637115,72536.01999999999,0,0.05,Low Risk (Zone 5/6)
637179,43640.0,0,0.05,Low Risk (Zone 5/6)
637294,75200.0,0,0.05,Low Risk (Zone 5/6)
637303,123898.0,0,0.05,Low Risk (Zone 5/6)
637391,122351.3,0,0.05,Low Risk (Zone 5/6)
600345,36838.333333333336,0,0.05,Low Risk (Zone 5/6)
600349,117020.33333333333,0,0.05,Low Risk (Zone 5/6)
600386,133900.0,0,0.05,Low Risk (Zone 5/6)
637491,71350.0,0,0.05,Low Risk (Zone 5/6)
637531,59200.0,0,0.05,Low Risk (Zone 5/6)
635895,44973.0,0,0.05,Low Risk (Zone 5/6)
636052,59701.666666666664,0,0.05,Low Risk (Zone 5/6)
636054,140306.9,0,0.05,Low Risk (Zone 5/6)
636084,42702.100000000006,0,0.05,Low Risk (Zone 5/6)
636138,94151.8,0,0.05,Low Risk (Zone 5/6)
636181,45838.575,0,0.05,Low Risk (Zone 5/6)
641147,61753.0,0,0.05,Low Risk (Zone 5/6)
636565,57780.2,0,0.05,Low Risk (Zone 5/6)
636573,113028.2,0,0.05,Low Risk (Zone 5/6)
636604,79550.0,0,0.05,Low Risk (Zone 5/6)
636701,84461.0,0,0.05,Low Risk (Zone 5/6)
636800,43162.5,0,0.05,Low Risk (Zone 5/6)
636996,109575.0,0,0.05,Low Risk (Zone 5/6)
637028,129027.1,0,0.05,Low Risk (Zone 5/6)
634931,78785.95,0,0.05,Low Risk (Zone 5/6)
634962,58701.0,0,0.05,Low Risk (Zone 5/6)
634966,42300.0,0,0.05,Low Risk (Zone 5/6)
635210,52500.0,0,0.05,Low Risk (Zone 5/6)
635253,68714.7,0,0.05,Low Risk (Zone 5/6)
635290,43824.3,0,0.05,Low Risk (Zone 5/6)
635294,82354.05,0,0.05,Low Risk (Zone 5/6)
635552,54300.0,0,0.05,Low Risk (Zone 5/6)
635580,74450.0,0,0.05,Low Risk (Zone 5/6)
635671,103200.0,0,0.05,Low Risk (Zone 5/6)
635672,108769.5,0,0.05,Low Risk (Zone 5/6)
600479,39052.0,0,0.05,Low Risk (Zone 5/6)
600499,121099.0,0,0.05,Low Risk (Zone 5/6)
635812,39517.566666666666,0,0.05,Low Risk (Zone 5/6)
635893,47507.6,0,0.05,Low Risk (Zone 5/6)
633781,114901.5,0,0.05,Low Risk (Zone 5/6)
633855,76771.7,0,0.05,Low Risk (Zone 5/6)
633911,129800.0,0,0.05,Low Risk (Zone 5/6)
633912,126610.0,0,0.05,Low Risk (Zone 5/6)
633926,60203.5,0,0.05,Low Risk (Zone 5/6)
633966,131559.3,0,0.05,Low Risk (Zone 5/6)
633975,128048.75,0,0.05,Low Risk (Zone 5/6)
633984,120616.0,0,0.05,Low Risk (Zone 5/6)
633991,75891.05,0,0.05,Low Risk (Zone 5/6)
634102,100942.7,0,0.05,Low Risk (Zone 5/6)
634254,106100.0,0,0.05,Low Risk (Zone 5/6)
634481,120000.0,0,0.05,Low Risk (Zone 5/6)
634520,63592.75,0,0.05,Low Risk (Zone 5/6)
634603,127499.0,0,0.05,Low Risk (Zone 5/6)
631973,133800.0,0,0.05,Low Risk (Zone 5/6)
632042,113200.0,0,0.05,Low Risk (Zone 5/6)
632150,48572.2,0,0.05,Low Risk (Zone 5/6)
632163,41000.0,0,0.05,Low Risk (Zone 5/6)
632242,46903.25,0,0.05,Low Risk (Zone 5/6)
632365,48333.333333333336,0,0.05,Low Risk (Zone 5/6)
632560,29580.825,0,0.05,Low Risk (Zone 5/6)
632673,119000.0,0,0.05,Low Risk (Zone 5/6)
632680,39786.23333333334,0,0.05,Low Risk (Zone 5/6)
632981,76618.23333333334,0,0.05,Low Risk (Zone 5/6)
633090,133746.2,0,0.05,Low Risk (Zone 5/6)
633252,113949.0,0,0.05,Low Risk (Zone 5/6)
633414,136969.0,0,0.05,Low Risk (Zone 5/6)
633461,77853.64,0,0.05,Low Risk (Zone 5/6)
633503,128337.0,0,0.05,Low Risk (Zone 5/6)
600588,87800.0,0,0.05,Low Risk (Zone 5/6)
630543,58380.0,0,0.05,Low Risk (Zone 5/6)
630544,111647.0,0,0.05,Low Risk (Zone 5/6)
630822,123099.45,0,0.05,Low Risk (Zone 5/6)
631142,77462.0,0,0.05,Low Risk (Zone 5/6)
631161,113949.0,0,0.05,Low Risk (Zone 5/6)
631189,52802.075,0,0.05,Low Risk (Zone 5/6)
631247,71764.85,0,0.05,Low Risk (Zone 5/6)
631271,109350.0,0,0.05,Low Risk (Zone 5/6)
631434,115100.0,0,0.05,Low Risk (Zone 5/6)
631551,46385.333333333336,0,0.05,Low Risk (Zone 5/6)
631623,132710.3,0,0.05,Low Risk (Zone 5/6)
631686,126600.0,0,0.05,Low Risk (Zone 5/6)
631692,46906.0,0,0.05,Low Risk (Zone 5/6)
631749,114200.0,0,0.05,Low Risk (Zone 5/6)
631771,74699.8,0,0.05,Low Risk (Zone 5/6)
